clientid,income,age,loan,default
101.0,51461.0531670041,36.6515586250462,7292.26417686258,0.0
313.0,51455.0984534435,37.2856837031431,9447.117157424407,0.0
1055.0,24820.7924701273,38.24401685083279,51.949242778070094,0.0
1164.0,30961.166140623398,32.1142866155133,162.79559613813998,0.0
1172.0,30037.203133106203,38.6849202262238,1247.01279101851,0.0
1200.0,26267.5294233486,34.4963862220757,59.46916335062471,0.0
1215.0,26867.1082612127,32.622299618087695,1730.1519065694,0.0
1248.0,31722.7309499867,34.851817262359,2877.7561038956,0.0
1322.0,36970.3604420647,33.7045991150662,1268.50638260119,0.0
1374.0,31396.8660123646,34.9966813726351,3719.23013486841,0.0
1540.0,36455.4847055115,35.260340718086795,2464.16232121798,0.0
178.0,50072.8476257063,33.0152727491222,8088.56801856809,1.0
1137.0,28726.9962998107,34.7514377613552,3675.83341454456,1.0
1226.0,26078.2135813497,31.806880658492403,3665.88089899456,1.0
1289.0,30884.0567292646,31.2778618824668,4099.90204534619,1.0
